

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   113.00000 -0.153639E+02  0.135900E+02 -0.153863E+02  0.124458E+02 -0.381723E+01-100000.000  -5611.662   -343.723     113
   114.00000 -0.153639E+02  0.137123E+02 -0.153863E+02  0.124974E+02 -0.384345E+01 -53364.211  -5058.961   -350.429     114
   115.00000 -0.155439E+02  0.139903E+02 -0.155665E+02  0.126371E+02 -0.386882E+01  -1042.117  -3243.158   -357.028     115
   116.00000 -0.155236E+02  0.143451E+02 -0.155452E+02  0.128267E+02 -0.389255E+01  -5560.200  -3652.799   -363.469     116
   117.00000 -0.155131E+02  0.147223E+02 -0.155336E+02  0.129769E+02 -0.391464E+01 -13948.527  -4371.420   -369.806     117
   118.00000 -0.154861E+02  0.151226E+02 -0.155169E+02  0.130991E+02 -0.393510E+01-100000.000  -6342.076   -376.104     118
   119.00000 -0.155161E+02  0.154692E+02 -0.155476E+02  0.132031E+02 -0.395434E+01  -3757.492  -4595.106   -382.536     119
   120.00000 -0.155161E+02  0.157877E+02 -0.155465E+02  0.132959E+02 -0.397207E+01  -6967.074  -4719.398   -390.416     120
   121.00000 -0.155161E+02  0.160698E+02 -0.155460E+02  0.133720E+02 -0.398893E+01  -7789.439  -4794.538   -398.061     121
   122.00000 -0.155161E+02  0.163928E+02 -0.155459E+02  0.134567E+02 -0.400513E+01  -7959.962  -4856.059   -405.297     122
   123.00000 -0.155161E+02  0.166628E+02 -0.155459E+02  0.135221E+02 -0.402053E+01  -8009.169  -4939.237   -412.140     123
   124.00000 -0.182861E+02  0.168000E+02 -0.183159E+02  0.136272E+02 -0.403561E+01   -126.880   -652.525   -418.888     124
   125.00000 -0.183561E+02  0.170633E+02 -0.183859E+02  0.138904E+02 -0.405006E+01   -318.700   -439.944   -425.368     125
   126.00000 -0.187061E+02  0.173864E+02 -0.187359E+02  0.142135E+02 -0.406391E+01   -296.652   -435.050   -431.641     126
   127.00000 -0.187061E+02  0.177998E+02 -0.187365E+02  0.146270E+02 -0.407716E+01   -499.654   -529.771   -437.707     127
   128.00000 -0.188961E+02  0.180772E+02 -0.189264E+02  0.149043E+02 -0.408988E+01   -434.160   -559.008   -443.547     128
   129.00000 -0.189861E+02  0.183145E+02 -0.190164E+02  0.151416E+02 -0.410209E+01   -515.797   -601.781   -449.056     129
   130.00000 -0.189861E+02  0.186591E+02 -0.190171E+02  0.154862E+02 -0.411376E+01   -760.270   -722.002   -454.095     130
   131.00000 -0.189861E+02  0.191199E+02 -0.190181E+02  0.159471E+02 -0.412495E+01  -1199.627   -965.181   -458.675     131
   132.00000 -0.204861E+02  0.193566E+02 -0.205180E+02  0.161838E+02 -0.413583E+01   -181.976   -511.576   -462.956     132
   133.00000 -0.204861E+02  0.197243E+02 -0.205184E+02  0.165514E+02 -0.414632E+01   -424.919   -518.835   -466.911     133
   134.00000 -0.204861E+02  0.202011E+02 -0.205190E+02  0.170283E+02 -0.415642E+01   -652.927   -658.502   -470.656     134
   135.00000 -0.221861E+02  0.202685E+02 -0.222189E+02  0.170956E+02 -0.416623E+01   -148.156   -326.673   -474.313     135
   136.00000 -0.221861E+02  0.204425E+02 -0.222193E+02  0.172696E+02 -0.417569E+01   -293.150   -330.204   -477.929     136
   137.00000 -0.224861E+02  0.207654E+02 -0.225194E+02  0.175926E+02 -0.418481E+01   -281.093   -351.865   -481.546     137
   138.00000 -0.224861E+02  0.211791E+02 -0.225199E+02  0.180062E+02 -0.419359E+01   -440.162   -435.475   -485.104     138
   139.00000 -0.224678E+02  0.215753E+02 -0.225015E+02  0.184024E+02 -0.420208E+01   -627.796   -546.153   -488.551     139
   140.00000 -0.232878E+02  0.219003E+02 -0.233215E+02  0.187274E+02 -0.421049E+01   -241.462   -430.941   -491.110     140
   141.00000 -0.232914E+02  0.223613E+02 -0.233251E+02  0.191884E+02 -0.421883E+01   -497.788   -520.661   -492.353     141
   142.00000 -0.233914E+02  0.227881E+02 -0.234251E+02  0.196152E+02 -0.422716E+01   -560.558   -620.684   -492.729     142
   143.00000 -0.236114E+02  0.230679E+02 -0.236450E+02  0.198951E+02 -0.423548E+01   -466.953   -634.373   -492.705     143
   144.00000 -0.235942E+02  0.235398E+02 -0.236290E+02  0.203670E+02 -0.424379E+01   -939.605   -823.317   -492.681     144
   145.00000 -0.235942E+02  0.240139E+02 -0.236289E+02  0.208389E+02 -0.425211E+01  -1629.866  -1184.821   -492.975     145
   146.00000 -0.235942E+02  0.245073E+02 -0.236272E+02  0.212750E+02 -0.426040E+01  -3478.068  -1992.516   -493.656     146
   147.00000 -0.238542E+02  0.248784E+02 -0.238872E+02  0.215824E+02 -0.426867E+01   -733.335  -2100.105   -494.696     147
   148.00000 -0.248642E+02  0.251587E+02 -0.248972E+02  0.218321E+02 -0.427689E+01   -261.251  -1145.788   -496.211     148
   149.00000 -0.271542E+02  0.254807E+02 -0.271872E+02  0.221521E+02 -0.428505E+01   -127.244   -368.245   -498.211     149
   150.00000 -0.277242E+02  0.256672E+02 -0.277572E+02  0.223386E+02 -0.429312E+01   -190.725   -264.214   -500.685     150
   151.00000 -0.276847E+02  0.261173E+02 -0.277193E+02  0.227887E+02 -0.430110E+01   -338.718   -341.262   -503.580     151
   152.00000 -0.276847E+02  0.265034E+02 -0.277188E+02  0.231748E+02 -0.430896E+01   -451.031   -429.602   -506.603     152
   153.00000 -0.276847E+02  0.267726E+02 -0.277173E+02  0.234441E+02 -0.431672E+01   -566.244   -511.073   -509.030     153
   154.00000 -0.276829E+02  0.272189E+02 -0.277178E+02  0.238903E+02 -0.432442E+01   -753.344   -627.137   -510.418     154
   155.00000 -0.278629E+02  0.274986E+02 -0.278977E+02  0.241700E+02 -0.433210E+01   -538.420   -648.288   -510.843     155
   156.00000 -0.307129E+02  0.277126E+02 -0.307477E+02  0.243840E+02 -0.433979E+01   -104.790   -207.559   -510.303     156
   157.00000 -0.308629E+02  0.279727E+02 -0.308977E+02  0.246441E+02 -0.434751E+01   -215.278   -235.930   -509.198     157
   158.00000 -0.308729E+02  0.282731E+02 -0.309078E+02  0.249446E+02 -0.435527E+01   -293.275   -290.855   -507.912     158
   159.00000 -0.310729E+02  0.286783E+02 -0.311078E+02  0.253497E+02 -0.436309E+01   -301.947   -330.362   -505.621     159
   160.00000 -0.310556E+02  0.291747E+02 -0.310910E+02  0.258461E+02 -0.437106E+01   -471.413   -420.743   -500.444     160
   161.00000 -0.310556E+02  0.296152E+02 -0.310905E+02  0.262866E+02 -0.437932E+01   -640.339   -529.090   -492.196     161
